"from","to","strength","direction","in_final_dag"
"hemoglobin","hematocrit",1,0.505,TRUE
"alt","ast",1,0.518,TRUE
"ldl","total_chol",1,0.5,TRUE
"total_chol","ldl",1,0.5,TRUE
"mpv","platelets",0.996,0.541164658634538,TRUE
"hematocrit","rbc",0.994,0.776659959758551,TRUE
"hdl","triglycerides",0.99,0.561616161616162,TRUE
"globulin","protein",0.986,0.636916835699797,TRUE
"albumin","calcium",0.983,0.641912512716175,TRUE
"rdw","rbc",0.976,0.810450819672131,TRUE
"hdl","total_chol",0.963,0.673416407061267,TRUE
"albumin","protein",0.943,0.71474019088017,TRUE
"co2","chloride",0.932,0.638948497854077,TRUE
"weight","hdl",0.923,0.573131094257855,TRUE
"triglycerides","total_chol",0.878,0.661731207289294,TRUE
"sex","crp",0.876,1,TRUE
"creatinine","bun",0.87,0.742528735632184,TRUE
"sodium","chloride",0.863,0.556778679026651,TRUE
"triglycerides","ldl",0.85,0.667647058823529,TRUE
"bun","albumin",0.805,0.581366459627329,TRUE
"alt","weight",0.804,0.575248756218905,TRUE
"hematocrit","hemoglobin",1,0.495,FALSE
"ast","alt",1,0.482,FALSE
"platelets","mpv",0.996,0.458835341365462,FALSE
"rbc","hematocrit",0.994,0.223340040241449,FALSE
"triglycerides","hdl",0.99,0.438383838383838,FALSE
"protein","globulin",0.986,0.363083164300203,FALSE
"calcium","albumin",0.983,0.358087487283825,FALSE
"rbc","rdw",0.976,0.189549180327869,FALSE
"total_chol","hdl",0.963,0.326583592938733,FALSE
"protein","albumin",0.943,0.28525980911983,FALSE
"chloride","co2",0.932,0.361051502145923,FALSE
"hdl","weight",0.923,0.426868905742145,FALSE
"total_chol","triglycerides",0.878,0.338268792710706,FALSE
"crp","sex",0.876,0,FALSE
"bun","creatinine",0.87,0.257471264367816,FALSE
"chloride","sodium",0.863,0.443221320973349,FALSE
"ldl","triglycerides",0.85,0.332352941176471,FALSE
"albumin","bun",0.805,0.418633540372671,FALSE
"weight","alt",0.804,0.424751243781095,FALSE
"platelets","esr",0.76,0.4125,FALSE
"esr","platelets",0.76,0.5875,FALSE
"age_group","alk_phos",0.751,1,FALSE
"alk_phos","age_group",0.751,0,FALSE
"calcium","potassium",0.751,0.284287616511318,FALSE
"potassium","calcium",0.751,0.715712383488682,FALSE
"neutrophils","crp",0.739,0.365358592692828,FALSE
"crp","neutrophils",0.739,0.634641407307172,FALSE
"sex","creatinine",0.725,1,FALSE
"creatinine","sex",0.725,0,FALSE
"sex","esr",0.722,1,FALSE
"esr","sex",0.722,0,FALSE
"hdl","ldl",0.719,0.806675938803894,FALSE
"ldl","hdl",0.719,0.193324061196106,FALSE
"weight","rdw",0.691,0.380607814761216,FALSE
"rdw","weight",0.691,0.619392185238784,FALSE
"basophils","platelets",0.674,0.339762611275964,FALSE
"platelets","basophils",0.674,0.660237388724036,FALSE
"basophils","hemoglobin",0.668,0.372005988023952,FALSE
"hemoglobin","basophils",0.668,0.627994011976048,FALSE
"age_group","ldl",0.662,1,FALSE
"ldl","age_group",0.662,0,FALSE
"age_group","total_chol",0.66,1,FALSE
"total_chol","age_group",0.66,0,FALSE
"wbc","sodium",0.659,0.366464339908953,FALSE
"sodium","wbc",0.659,0.633535660091047,FALSE
"neutrophils","sodium",0.643,0.395800933125972,FALSE
"sodium","neutrophils",0.643,0.604199066874028,FALSE
"weight","potassium",0.629,0.445151033386328,FALSE
"potassium","weight",0.629,0.554848966613672,FALSE
"age_group","glucose",0.621,1,FALSE
"glucose","age_group",0.621,0,FALSE
"globulin","esr",0.61,0.29672131147541,FALSE
"esr","globulin",0.61,0.70327868852459,FALSE
"eosinophils","ast",0.6,0.531666666666667,FALSE
"ast","eosinophils",0.6,0.468333333333333,FALSE
"weight","crp",0.6,0.7225,FALSE
"crp","weight",0.6,0.2775,FALSE
"age_group","bun",0.588,1,FALSE
"bun","age_group",0.588,0,FALSE
"hemoglobin","albumin",0.583,0.67581475128645,FALSE
"albumin","hemoglobin",0.583,0.324185248713551,FALSE
"hemoglobin","monocytes",0.564,0.815602836879433,FALSE
"monocytes","hemoglobin",0.564,0.184397163120567,FALSE
"glucose","potassium",0.56,0.548214285714286,FALSE
"potassium","glucose",0.56,0.451785714285714,FALSE
"wbc","crp",0.554,0.169675090252708,FALSE
"crp","wbc",0.554,0.830324909747292,FALSE
"wbc","creatinine",0.551,0.283121597096189,FALSE
"creatinine","wbc",0.551,0.716878402903811,FALSE
"potassium","sodium",0.543,0.374769797421731,FALSE
"sodium","potassium",0.543,0.625230202578269,FALSE
"glucose","sodium",0.54,0.407407407407407,FALSE
"sodium","glucose",0.54,0.592592592592593,FALSE
"esr","crp",0.539,0.369202226345083,FALSE
"crp","esr",0.539,0.630797773654917,FALSE
"lymphocytes","hdl",0.537,0.399441340782123,FALSE
"hdl","lymphocytes",0.537,0.600558659217877,FALSE
"lymphocytes","rbc",0.53,0.541509433962264,FALSE
"rbc","lymphocytes",0.53,0.458490566037736,FALSE
"chloride","potassium",0.522,0.458812260536398,FALSE
"potassium","chloride",0.522,0.541187739463601,FALSE
"neutrophils","globulin",0.518,0.403474903474903,FALSE
"globulin","neutrophils",0.518,0.596525096525097,FALSE
"hemoglobin","wbc",0.515,0.753398058252427,FALSE
"wbc","hemoglobin",0.515,0.246601941747573,FALSE
"alk_phos","alt",0.511,0.700587084148728,FALSE
"alt","alk_phos",0.511,0.299412915851272,FALSE
"albumin","globulin",0.509,0.543222003929273,FALSE
"globulin","albumin",0.509,0.456777996070727,FALSE
"weight","glucose",0.502,0.51593625498008,FALSE
"glucose","weight",0.502,0.48406374501992,FALSE
"sex","platelets",0.5,1,FALSE
"platelets","sex",0.5,0,FALSE
"platelets","globulin",0.499,0.589178356713427,FALSE
"globulin","platelets",0.499,0.410821643286573,FALSE
"wbc","globulin",0.497,0.380281690140845,FALSE
"globulin","wbc",0.497,0.619718309859155,FALSE
"eosinophils","globulin",0.492,0.330284552845528,FALSE
"globulin","eosinophils",0.492,0.669715447154472,FALSE
"age_group","hdl",0.486,1,FALSE
"hdl","age_group",0.486,0,FALSE
"co2","crp",0.482,0.745850622406639,FALSE
"crp","co2",0.482,0.254149377593361,FALSE
"age_group","rdw",0.48,1,FALSE
"rdw","age_group",0.48,0,FALSE
"wbc","co2",0.479,0.236951983298539,FALSE
"co2","wbc",0.479,0.763048016701461,FALSE
"cmv","alk_phos",0.476,1,FALSE
"alk_phos","cmv",0.476,0,FALSE
"lymphocytes","platelets",0.471,0.316348195329087,FALSE
"platelets","lymphocytes",0.471,0.683651804670913,FALSE
"hemoglobin","rbc",0.469,0.44136460554371,FALSE
"rbc","hemoglobin",0.469,0.55863539445629,FALSE
"creatinine","esr",0.469,0.518123667377399,FALSE
"esr","creatinine",0.469,0.481876332622601,FALSE
"neutrophils","creatinine",0.463,0.285097192224622,FALSE
"creatinine","neutrophils",0.463,0.714902807775378,FALSE
"sex","hemoglobin",0.461,1,FALSE
"hemoglobin","sex",0.461,0,FALSE
"weight","bun",0.461,0.47939262472885,FALSE
"bun","weight",0.461,0.52060737527115,FALSE
"age_group","neutrophils",0.452,1,FALSE
"neutrophils","age_group",0.452,0,FALSE
"monocytes","creatinine",0.452,0.373893805309735,FALSE
"creatinine","monocytes",0.452,0.626106194690266,FALSE
"monocytes","sodium",0.446,0.198430493273543,FALSE
"sodium","monocytes",0.446,0.801569506726457,FALSE
"platelets","potassium",0.445,0.42247191011236,FALSE
"potassium","platelets",0.445,0.57752808988764,FALSE
"eosinophils","co2",0.436,0.230504587155963,FALSE
"co2","eosinophils",0.436,0.769495412844037,FALSE
"hematocrit","alt",0.434,0.693548387096774,FALSE
"alt","hematocrit",0.434,0.306451612903226,FALSE
"hemoglobin","glucose",0.431,0.607888631090487,FALSE
"glucose","hemoglobin",0.431,0.392111368909513,FALSE
"sex","alk_phos",0.43,1,FALSE
"alk_phos","sex",0.43,0,FALSE
"hematocrit","sodium",0.428,0.532710280373832,FALSE
"sodium","hematocrit",0.428,0.467289719626168,FALSE
"monocytes","mpv",0.427,0.386416861826698,FALSE
"mpv","monocytes",0.427,0.613583138173302,FALSE
"hematocrit","rdw",0.424,0.382075471698113,FALSE
"rdw","hematocrit",0.424,0.617924528301887,FALSE
"hemoglobin","rdw",0.422,0.395734597156398,FALSE
"rdw","hemoglobin",0.422,0.604265402843602,FALSE
"eosinophils","hemoglobin",0.416,0.247596153846154,FALSE
"hemoglobin","eosinophils",0.416,0.752403846153846,FALSE
"ast","globulin",0.414,0.5,FALSE
"globulin","ast",0.414,0.5,FALSE
"eosinophils","platelets",0.406,0.253694581280788,FALSE
"platelets","eosinophils",0.406,0.746305418719212,FALSE
"ast","calcium",0.404,0.633663366336634,FALSE
"calcium","ast",0.404,0.366336633663366,FALSE
"basophils","crp",0.403,0.650124069478908,FALSE
"crp","basophils",0.403,0.349875930521092,FALSE
"globulin","potassium",0.398,0.349246231155779,FALSE
"potassium","globulin",0.398,0.650753768844221,FALSE
"hemoglobin","alt",0.397,0.644836272040302,FALSE
"alt","hemoglobin",0.397,0.355163727959698,FALSE
"weight","creatinine",0.396,0.313131313131313,FALSE
"creatinine","weight",0.396,0.686868686868687,FALSE
"calcium","esr",0.394,0.304568527918782,FALSE
"glucose","crp",0.394,0.538071065989848,FALSE
"esr","calcium",0.394,0.695431472081218,FALSE
"crp","glucose",0.394,0.461928934010152,FALSE
"co2","t_bili",0.388,0.639175257731959,FALSE
"t_bili","co2",0.388,0.360824742268041,FALSE
"cmv","t_bili",0.385,1,FALSE
"t_bili","cmv",0.385,0,FALSE
"rbc","creatinine",0.384,0.111979166666667,FALSE
"creatinine","rbc",0.384,0.888020833333333,FALSE
"eosinophils","glucose",0.383,0.340731070496084,FALSE
"rbc","crp",0.383,0.801566579634465,FALSE
"glucose","eosinophils",0.383,0.659268929503916,FALSE
"crp","rbc",0.383,0.198433420365535,FALSE
"eosinophils","creatinine",0.38,0.526315789473684,FALSE
"chloride","crp",0.38,0.428947368421053,FALSE
"creatinine","eosinophils",0.38,0.473684210526316,FALSE
"crp","chloride",0.38,0.571052631578947,FALSE
"alk_phos","ldl",0.377,0.76657824933687,FALSE
"ldl","alk_phos",0.377,0.23342175066313,FALSE
"rbc","alk_phos",0.372,0.478494623655914,FALSE
"alk_phos","rbc",0.372,0.521505376344086,FALSE
"age_group","t_bili",0.371,1,FALSE
"alt","crp",0.371,0.392183288409703,FALSE
"t_bili","age_group",0.371,0,FALSE
"crp","alt",0.371,0.607816711590296,FALSE
"hemoglobin","mpv",0.368,0.730978260869565,FALSE
"mpv","hemoglobin",0.368,0.269021739130435,FALSE
"sex","hematocrit",0.364,1,FALSE
"hematocrit","sex",0.364,0,FALSE
"sex","rdw",0.359,1,FALSE
"rdw","sex",0.359,0,FALSE
"hemoglobin","neutrophils",0.358,0.829608938547486,FALSE
"neutrophils","hemoglobin",0.358,0.170391061452514,FALSE
"eosinophils","calcium",0.357,0.425770308123249,FALSE
"hematocrit","calcium",0.357,0.394957983193277,FALSE
"calcium","eosinophils",0.357,0.574229691876751,FALSE
"calcium","hematocrit",0.357,0.605042016806723,FALSE
"basophils","alt",0.348,0.35632183908046,FALSE
"alk_phos","creatinine",0.348,0.405172413793103,FALSE
"alt","basophils",0.348,0.64367816091954,FALSE
"creatinine","alk_phos",0.348,0.594827586206897,FALSE
"platelets","creatinine",0.346,0.361271676300578,FALSE
"creatinine","platelets",0.346,0.638728323699422,FALSE
"chloride","protein",0.345,0.736231884057971,FALSE
"protein","chloride",0.345,0.263768115942029,FALSE
"hematocrit","chloride",0.343,0.545189504373178,FALSE
"chloride","hematocrit",0.343,0.454810495626822,FALSE
"sodium","t_bili",0.338,0.559171597633136,FALSE
"t_bili","sodium",0.338,0.440828402366864,FALSE
"neutrophils","ast",0.335,0.543283582089552,FALSE
"ast","neutrophils",0.335,0.456716417910448,FALSE
"esr","hdl",0.334,0.254491017964072,FALSE
"hdl","esr",0.334,0.745508982035928,FALSE
"protein","ldl",0.334,0.455089820359281,FALSE
"ldl","protein",0.334,0.544910179640719,FALSE
"cmv","glucose",0.33,1,FALSE
"glucose","cmv",0.33,0,FALSE
"age_group","wbc",0.327,1,FALSE
"wbc","age_group",0.327,0,FALSE
"cmv","potassium",0.325,1,FALSE
"potassium","cmv",0.325,0,FALSE
"monocytes","glucose",0.324,0.530864197530864,FALSE
"neutrophils","glucose",0.324,0.466049382716049,FALSE
"glucose","monocytes",0.324,0.469135802469136,FALSE
"glucose","neutrophils",0.324,0.533950617283951,FALSE
"t_bili","esr",0.323,0.222910216718266,FALSE
