"from","to","strength","direction","in_final_dag"
"hemoglobin","hematocrit",1,0.513,TRUE
"ast","alt",1,0.504,TRUE
"hdl","triglycerides",0.999,0.572572572572573,TRUE
"albumin","calcium",0.996,0.617469879518072,TRUE
"creatinine","bun",0.931,0.79484425349087,TRUE
"esr","platelets",0.86,0.501744186046512,TRUE
"bun","albumin",0.851,0.615746180963572,TRUE
"sex","creatinine",0.817,1,TRUE
"crp","neutrophils",0.772,0.632124352331606,TRUE
"crp","esr",0.764,0.650523560209424,TRUE
"hemoglobin","monocytes",0.738,0.819783197831978,TRUE
"crp","alt",0.736,0.706521739130435,TRUE
"ldl","triglycerides",0.73,0.829452054794521,TRUE
"potassium","calcium",0.729,0.82235939643347,TRUE
"age_group","bun",0.714,1,TRUE
"alt","ast",1,0.496,FALSE
"hematocrit","hemoglobin",1,0.487,FALSE
"triglycerides","hdl",0.999,0.427427427427427,FALSE
"calcium","albumin",0.996,0.382530120481928,FALSE
"bun","creatinine",0.931,0.20515574650913,FALSE
"platelets","esr",0.86,0.498255813953488,FALSE
"albumin","bun",0.851,0.384253819036428,FALSE
"creatinine","sex",0.817,0,FALSE
"neutrophils","crp",0.772,0.367875647668394,FALSE
"esr","crp",0.764,0.349476439790576,FALSE
"monocytes","hemoglobin",0.738,0.180216802168022,FALSE
"alt","crp",0.736,0.293478260869565,FALSE
"triglycerides","ldl",0.73,0.170547945205479,FALSE
"calcium","potassium",0.729,0.177640603566529,FALSE
"bun","age_group",0.714,0,FALSE
"hemoglobin","rdw",0.674,0.246290801186944,FALSE
"rdw","hemoglobin",0.674,0.753709198813056,FALSE
"glucose","potassium",0.637,0.562794348508634,FALSE
"potassium","glucose",0.637,0.437205651491366,FALSE
"hemoglobin","albumin",0.629,0.712241653418124,FALSE
"albumin","hemoglobin",0.629,0.287758346581876,FALSE
"alt","hematocrit",0.623,0.26645264847512,FALSE
"hematocrit","alt",0.623,0.73354735152488,FALSE
"age_group","glucose",0.62,1,FALSE
"glucose","age_group",0.62,0,FALSE
"age_group","rdw",0.593,1,FALSE
"rdw","age_group",0.593,0,FALSE
"crp","wbc",0.588,0.810374149659864,FALSE
"wbc","crp",0.588,0.189625850340136,FALSE
"creatinine","wbc",0.571,0.784588441330998,FALSE
"wbc","creatinine",0.571,0.215411558669002,FALSE
"monocytes","ldl",0.565,0.243362831858407,FALSE
"ldl","monocytes",0.565,0.756637168141593,FALSE
"age_group","ldl",0.564,1,FALSE
"ldl","age_group",0.564,0,FALSE
"hemoglobin","wbc",0.56,0.746428571428571,FALSE
"wbc","hemoglobin",0.56,0.253571428571429,FALSE
"hematocrit","calcium",0.548,0.488138686131387,FALSE
"calcium","hematocrit",0.548,0.511861313868613,FALSE
"monocytes","platelets",0.529,0.283553875236295,FALSE
"eosinophils","glucose",0.529,0.401701323251418,FALSE
"platelets","monocytes",0.529,0.716446124763705,FALSE
"glucose","eosinophils",0.529,0.598298676748582,FALSE
"lymphocytes","hdl",0.523,0.355640535372849,FALSE
"hdl","lymphocytes",0.523,0.644359464627151,FALSE
"eosinophils","ast",0.522,0.725095785440613,FALSE
"ast","eosinophils",0.522,0.274904214559387,FALSE
"sex","rdw",0.517,1,FALSE
"rdw","sex",0.517,0,FALSE
"esr","ast",0.514,0.671206225680934,FALSE
"ast","esr",0.514,0.328793774319066,FALSE
"hdl","ldl",0.511,0.218199608610568,FALSE
"ldl","hdl",0.511,0.781800391389432,FALSE
"sex","hemoglobin",0.509,1,FALSE
"hemoglobin","sex",0.509,0,FALSE
"neutrophils","creatinine",0.507,0.339250493096647,FALSE
"creatinine","neutrophils",0.507,0.660749506903353,FALSE
"alt","glucose",0.493,0.32657200811359,FALSE
"glucose","alt",0.493,0.67342799188641,FALSE
"esr","calcium",0.487,0.773100616016427,FALSE
"calcium","esr",0.487,0.226899383983573,FALSE
"eosinophils","hemoglobin",0.486,0.407407407407407,FALSE
"hemoglobin","eosinophils",0.486,0.592592592592593,FALSE
"crp","glucose",0.485,0.562886597938144,FALSE
"glucose","crp",0.485,0.437113402061856,FALSE
"esr","creatinine",0.453,0.385209713024283,FALSE
"creatinine","esr",0.453,0.614790286975717,FALSE
"sex","crp",0.449,1,FALSE
"crp","sex",0.449,0,FALSE
"sex","platelets",0.443,1,FALSE
"platelets","sex",0.443,0,FALSE
"hemoglobin","glucose",0.439,0.616173120728929,FALSE
"glucose","hemoglobin",0.439,0.383826879271071,FALSE
"eosinophils","platelets",0.437,0.382151029748284,FALSE
"platelets","eosinophils",0.437,0.617848970251716,FALSE
"eosinophils","calcium",0.431,0.663573085846868,FALSE
"calcium","eosinophils",0.431,0.336426914153132,FALSE
"hdl","ast",0.43,0.823255813953488,FALSE
"ast","hdl",0.43,0.176744186046512,FALSE
"hemoglobin","potassium",0.429,0.258741258741259,FALSE
"potassium","hemoglobin",0.429,0.741258741258741,FALSE
"monocytes","creatinine",0.426,0.44131455399061,FALSE
"creatinine","monocytes",0.426,0.55868544600939,FALSE
"ast","calcium",0.425,0.675294117647059,FALSE
"calcium","ast",0.425,0.324705882352941,FALSE
"lymphocytes","calcium",0.421,0.73396674584323,FALSE
"calcium","lymphocytes",0.421,0.26603325415677,FALSE
"eosinophils","hdl",0.413,0.452784503631961,FALSE
"hdl","eosinophils",0.413,0.547215496368039,FALSE
"age_group","neutrophils",0.409,1,FALSE
"neutrophils","age_group",0.409,0,FALSE
"crp","albumin",0.405,0.654320987654321,FALSE
"albumin","crp",0.405,0.345679012345679,FALSE
"sex","hematocrit",0.402,1,FALSE
"hematocrit","sex",0.402,0,FALSE
"cmv","lymphocytes",0.4,1,FALSE
"lymphocytes","cmv",0.4,0,FALSE
"platelets","wbc",0.398,0.781407035175879,FALSE
"wbc","platelets",0.398,0.218592964824121,FALSE
"hdl","alt",0.394,0.784263959390863,FALSE
"alt","hdl",0.394,0.215736040609137,FALSE
"ldl","alt",0.393,0.788804071246819,FALSE
"alt","ldl",0.393,0.211195928753181,FALSE
"esr","hematocrit",0.389,0.591259640102828,FALSE
"hematocrit","esr",0.389,0.408740359897172,FALSE
"neutrophils","bun",0.387,0.448320413436692,FALSE
"hdl","bun",0.387,0.771317829457364,FALSE
"bun","neutrophils",0.387,0.551679586563308,FALSE
"bun","hdl",0.387,0.228682170542636,FALSE
"neutrophils","hemoglobin",0.386,0.251295336787565,FALSE
"hemoglobin","neutrophils",0.386,0.748704663212435,FALSE
"crp","triglycerides",0.38,0.692105263157895,FALSE
"triglycerides","crp",0.38,0.307894736842105,FALSE
"hemoglobin","alt",0.379,0.654353562005277,FALSE
"alt","hemoglobin",0.379,0.345646437994723,FALSE
"sex","esr",0.374,1,FALSE
"esr","sex",0.374,0,FALSE
"lymphocytes","platelets",0.373,0.353887399463807,FALSE
"platelets","lymphocytes",0.373,0.646112600536193,FALSE
"platelets","triglycerides",0.37,0.543243243243243,FALSE
"triglycerides","platelets",0.37,0.456756756756757,FALSE
"ldl","ast",0.361,0.742382271468144,FALSE
"ast","ldl",0.361,0.257617728531856,FALSE
"age_group","wbc",0.36,1,FALSE
"wbc","age_group",0.36,0,FALSE
"rdw","glucose",0.355,0.622535211267606,FALSE
"glucose","rdw",0.355,0.377464788732394,FALSE
"ldl","calcium",0.352,0.745738636363636,FALSE
"calcium","ldl",0.352,0.254261363636364,FALSE
"rdw","hdl",0.348,0.614942528735632,FALSE
"hdl","rdw",0.348,0.385057471264368,FALSE
"albumin","hematocrit",0.348,0.405172413793103,FALSE
"hematocrit","albumin",0.348,0.594827586206897,FALSE
"cmv","glucose",0.344,1,FALSE
"glucose","cmv",0.344,0,FALSE
"cmv","rdw",0.342,1,FALSE
"rdw","cmv",0.342,0,FALSE
"eosinophils","creatinine",0.338,0.757396449704142,FALSE
"creatinine","eosinophils",0.338,0.242603550295858,FALSE
"rdw","hematocrit",0.333,0.84984984984985,FALSE
"hematocrit","rdw",0.333,0.15015015015015,FALSE
"lymphocytes","creatinine",0.33,0.160606060606061,FALSE
"creatinine","lymphocytes",0.33,0.839393939393939,FALSE
"eosinophils","albumin",0.329,0.626139817629179,FALSE
"albumin","eosinophils",0.329,0.373860182370821,FALSE
"esr","ldl",0.326,0.52760736196319,FALSE
"neutrophils","glucose",0.326,0.53680981595092,FALSE
"ldl","esr",0.326,0.47239263803681,FALSE
"glucose","neutrophils",0.326,0.46319018404908,FALSE
"alt","calcium",0.325,0.726153846153846,FALSE
"calcium","alt",0.325,0.273846153846154,FALSE
"esr","lymphocytes",0.323,0.625386996904025,FALSE
"lymphocytes","esr",0.323,0.374613003095975,FALSE
"neutrophils","potassium",0.322,0.386645962732919,FALSE
"potassium","neutrophils",0.322,0.613354037267081,FALSE
"monocytes","glucose",0.322,0.549689440993789,FALSE
"glucose","monocytes",0.322,0.450310559006211,FALSE
"bun","glucose",0.319,0.587774294670846,FALSE
"glucose","bun",0.319,0.412225705329154,FALSE
"platelets","rdw",0.316,0.356012658227848,FALSE
"platelets","calcium",0.316,0.610759493670886,FALSE
"rdw","platelets",0.316,0.643987341772152,FALSE
"calcium","platelets",0.316,0.389240506329114,FALSE
"esr","potassium",0.313,0.472843450479233,FALSE
"lymphocytes","alt",0.313,0.376996805111821,FALSE
"alt","lymphocytes",0.313,0.623003194888179,FALSE
"potassium","esr",0.313,0.527156549520767,FALSE
"crp","ast",0.312,0.814102564102564,FALSE
"ast","crp",0.312,0.185897435897436,FALSE
"age_group","albumin",0.308,1,FALSE
"albumin","age_group",0.308,0,FALSE
"rdw","potassium",0.305,0.501639344262295,FALSE
"potassium","rdw",0.305,0.498360655737705,FALSE
"bun","wbc",0.303,0.537953795379538,FALSE
"wbc","bun",0.303,0.462046204620462,FALSE
"platelets","potassium",0.301,0.401993355481728,FALSE
"potassium","platelets",0.301,0.598006644518272,FALSE
"age_group","lymphocytes",0.3,1,FALSE
"lymphocytes","age_group",0.3,0,FALSE
"neutrophils","ast",0.298,0.446308724832215,FALSE
"ast","neutrophils",0.298,0.553691275167785,FALSE
"cmv","potassium",0.293,1,FALSE
"potassium","cmv",0.293,0,FALSE
"rdw","bun",0.291,0.412371134020618,FALSE
"bun","rdw",0.291,0.587628865979381,FALSE
"creatinine","calcium",0.289,0.482698961937716,FALSE
"calcium","creatinine",0.289,0.517301038062284,FALSE
"crp","monocytes",0.285,0.659649122807017,FALSE
"monocytes","crp",0.285,0.340350877192982,FALSE
"ast","glucose",0.284,0.302816901408451,FALSE
"glucose","ast",0.284,0.697183098591549,FALSE
"rdw","creatinine",0.28,0.458928571428571,FALSE
"ast","wbc",0.28,0.571428571428571,FALSE
"creatinine","rdw",0.28,0.541071428571429,FALSE
"wbc","ast",0.28,0.428571428571428,FALSE
"esr","alt",0.279,0.827956989247312,FALSE
"alt","esr",0.279,0.172043010752688,FALSE
"wbc","potassium",0.279,0.318996415770609,FALSE
"potassium","wbc",0.279,0.681003584229391,FALSE
"platelets","creatinine",0.278,0.384892086330935,FALSE
"creatinine","platelets",0.278,0.615107913669065,FALSE
"hdl","hematocrit",0.278,0.255395683453237,FALSE
"hematocrit","hdl",0.278,0.744604316546763,FALSE
"albumin","glucose",0.271,0.339483394833948,FALSE
"glucose","albumin",0.271,0.660516605166052,FALSE
"crp","creatinine",0.266,0.469924812030075,FALSE
"creatinine","crp",0.266,0.530075187969925,FALSE
"eosinophils","rdw",0.265,0.664150943396226,FALSE
"rdw","eosinophils",0.265,0.335849056603774,FALSE
"hdl","glucose",0.263,0.733840304182509,FALSE
"glucose","hdl",0.263,0.26615969581749,FALSE
"sex","lymphocytes",0.262,1,FALSE
"lymphocytes","sex",0.262,0,FALSE
"esr","hdl",0.261,0.331417624521073,FALSE
"hdl","esr",0.261,0.668582375478927,FALSE
"neutrophils","triglycerides",0.26,0.459615384615385,FALSE
"triglycerides","neutrophils",0.26,0.540384615384615,FALSE
"rdw","albumin",0.259,0.776061776061776,FALSE
"albumin","rdw",0.259,0.223938223938224,FALSE
"sex","hdl",0.253,1,FALSE
"monocytes","ast",0.253,0.355731225296443,FALSE
"hdl","sex",0.253,0,FALSE
"ast","monocytes",0.253,0.644268774703557,FALSE
"eosinophils","hematocrit",0.249,0.586345381526104,FALSE
"hematocrit","eosinophils",0.249,0.413654618473896,FALSE
"bun","hematocrit",0.246,0.48780487804878,FALSE
"hematocrit","bun",0.246,0.51219512195122,FALSE
"age_group","potassium",0.244,1,FALSE
"triglycerides","alt",0.244,0.69672131147541,FALSE
"triglycerides","potassium",0.244,0.516393442622951,FALSE
"alt","triglycerides",0.244,0.30327868852459,FALSE
"potassium","age_group",0.244,0,FALSE
"potassium","triglycerides",0.244,0.483606557377049,FALSE
"monocytes","bun",0.242,0.553719008264463,FALSE
"bun","monocytes",0.242,0.446280991735537,FALSE
"sex","ast",0.241,1,FALSE
"triglycerides","wbc",0.241,0.686721991701245,FALSE
"ast","sex",0.241,0,FALSE
"glucose","wbc",0.241,0.593360995850622,FALSE
"wbc","triglycerides",0.241,0.313278008298755,FALSE
"wbc","glucose",0.241,0.406639004149378,FALSE
"alt","wbc",0.239,0.581589958158996,FALSE
"wbc","alt",0.239,0.418410041841004,FALSE
"platelets","hdl",0.239,0.338912133891213,FALSE
"hdl","platelets",0.239,0.661087866108787,FALSE
"sex","neutrophils",0.238,1,FALSE
"neutrophils","sex",0.238,0,FALSE
"sex","albumin",0.237,1,FALSE
"albumin","sex",0.237,0,FALSE
"sex","glucose",0.236,1,FALSE
"rdw","alt",0.236,0.673728813559322,FALSE
"alt","rdw",0.236,0.326271186440678,FALSE
"glucose","sex",0.236,0,FALSE
"crp","calcium",0.234,0.602564102564103,FALSE
"triglycerides","bun",0.234,0.773504273504274,FALSE
"bun","triglycerides",0.234,0.226495726495726,FALSE
"calcium","crp",0.234,0.397435897435897,FALSE
"triglycerides","hematocrit",0.233,0.622317596566524,FALSE
"hematocrit","triglycerides",0.233,0.377682403433476,FALSE
"age_group","esr",0.232,1,FALSE
"esr","age_group",0.232,0,FALSE
"hematocrit","potassium",0.232,0.189655172413793,FALSE
"potassium","hematocrit",0.232,0.810344827586207,FALSE
"esr","glucose",0.23,0.569565217391304,FALSE
"glucose","esr",0.23,0.430434782608696,FALSE
"eosinophils","alt",0.23,0.791304347826087,FALSE
"alt","eosinophils",0.23,0.208695652173913,FALSE
"esr","wbc",0.226,0.701327433628319,FALSE
"wbc","esr",0.226,0.298672566371681,FALSE
"cmv","platelets",0.225,1,FALSE
"crp","potassium",0.225,0.582222222222222,FALSE
"platelets","cmv",0.225,0,FALSE
"potassium","crp",0.225,0.417777777777778,FALSE
"hemoglobin","creatinine",0.22,0.334090909090909,FALSE
"creatinine","hemoglobin",0.22,0.665909090909091,FALSE
"hemoglobin","calcium",0.219,0.515981735159817,FALSE
"calcium","hemoglobin",0.219,0.484018264840183,FALSE
"lymphocytes","hemoglobin",0.214,0.355140186915888,FALSE
"hemoglobin","lymphocytes",0.214,0.644859813084112,FALSE
"hdl","wbc",0.209,0.602870813397129,FALSE
"wbc","hdl",0.209,0.397129186602871,FALSE
"glucose","hematocrit",0.207,0.444444444444444,FALSE
"hematocrit","glucose",0.207,0.555555555555556,FALSE
"triglycerides","albumin",0.199,0.688442211055276,FALSE
"albumin","triglycerides",0.199,0.311557788944724,FALSE
"monocytes","triglycerides",0.198,0.320707070707071,FALSE
"triglycerides","monocytes",0.198,0.679292929292929,FALSE
"hemoglobin","platelets",0.195,0.538461538461538,FALSE
"platelets","hemoglobin",0.195,0.461538461538462,FALSE
"hemoglobin","ast",0.195,0.723076923076923,FALSE
"ast","hemoglobin",0.195,0.276923076923077,FALSE
"crp","eosinophils",0.191,0.361256544502618,FALSE
"eosinophils","crp",0.191,0.638743455497382,FALSE
"cmv","crp",0.189,1,FALSE
"crp","cmv",0.189,0,FALSE
"neutrophils","platelets",0.188,0.223404255319149,FALSE
"platelets","neutrophils",0.188,0.776595744680851,FALSE
"lymphocytes","glucose",0.186,0.408602150537634,FALSE
"platelets","ldl",0.186,0.682795698924731,FALSE
"ldl","platelets",0.186,0.317204301075269,FALSE
"glucose","lymphocytes",0.186,0.591397849462366,FALSE
"crp","hdl",0.185,0.502702702702703,FALSE
"lymphocytes","hematocrit",0.185,0.367567567567568,FALSE
"hdl","crp",0.185,0.497297297297297,FALSE
"hematocrit","lymphocytes",0.185,0.632432432432433,FALSE
"triglycerides","ast",0.182,0.818681318681319,FALSE
"ast","triglycerides",0.182,0.181318681318681,FALSE
"monocytes","hematocrit",0.181,0.364640883977901,FALSE
"hematocrit","monocytes",0.181,0.635359116022099,FALSE
"hemoglobin","ldl",0.18,0.244444444444444,FALSE
"ldl","hemoglobin",0.18,0.755555555555556,FALSE
"bun","potassium",0.18,0.425,FALSE
"potassium","bun",0.18,0.575,FALSE
"age_group","hdl",0.178,1,FALSE
"neutrophils","hdl",0.178,0.455056179775281,FALSE
"hdl","age_group",0.178,0,FALSE
"hdl","neutrophils",0.178,0.544943820224719,FALSE
"esr","triglycerides",0.177,0.46045197740113,FALSE
"triglycerides","esr",0.177,0.53954802259887,FALSE
"rdw","ldl",0.176,0.227272727272727,FALSE
"ldl","rdw",0.176,0.772727272727273,FALSE
"wbc","hematocrit",0.175,0.331428571428571,FALSE
"hematocrit","wbc",0.175,0.668571428571429,FALSE
"sex","alt",0.174,1,FALSE
"alt","sex",0.174,0,FALSE
"alt","albumin",0.173,0.531791907514451,FALSE
"albumin","alt",0.173,0.468208092485549,FALSE
"albumin","potassium",0.172,0.302325581395349,FALSE
"potassium","albumin",0.172,0.697674418604651,FALSE
"esr","eosinophils",0.171,0.491228070175439,FALSE
"eosinophils","esr",0.171,0.508771929824561,FALSE
"albumin","creatinine",0.171,0.365497076023392,FALSE
"creatinine","albumin",0.171,0.634502923976608,FALSE
"cmv","neutrophils",0.17,1,FALSE
"neutrophils","cmv",0.17,0,FALSE
"hdl","albumin",0.169,0.609467455621302,FALSE
"albumin","hdl",0.169,0.390532544378698,FALSE
"cmv","ldl",0.165,1,FALSE
"ldl","cmv",0.165,0,FALSE
"esr","neutrophils",0.162,0.740740740740741,FALSE
"esr","albumin",0.162,0.765432098765432,FALSE
"neutrophils","esr",0.162,0.259259259259259,FALSE
"albumin","esr",0.162,0.234567901234568,FALSE
"hemoglobin","hdl",0.16,0.68125,FALSE
"hdl","hemoglobin",0.16,0.31875,FALSE
"cmv","wbc",0.159,1,FALSE
"wbc","cmv",0.159,0,FALSE
"hemoglobin","triglycerides",0.158,0.455696202531646,FALSE
"triglycerides","hemoglobin",0.158,0.544303797468354,FALSE
"esr","hemoglobin",0.156,0.532051282051282,FALSE
"hemoglobin","esr",0.156,0.467948717948718,FALSE
"monocytes","alt",0.155,0.535483870967742,FALSE
"alt","monocytes",0.155,0.464516129032258,FALSE
"crp","hematocrit",0.151,0.562913907284768,FALSE
"hematocrit","crp",0.151,0.437086092715232,FALSE
"creatinine","hematocrit",0.151,0.589403973509934,FALSE
"hematocrit","creatinine",0.151,0.410596026490066,FALSE
"neutrophils","alt",0.15,0.446666666666667,FALSE
"alt","neutrophils",0.15,0.553333333333333,FALSE
"esr","monocytes",0.15,0.346666666666667,FALSE
"monocytes","esr",0.15,0.653333333333333,FALSE
"glucose","calcium",0.148,0.560810810810811,FALSE
"calcium","glucose",0.148,0.439189189189189,FALSE
