"from","to","strength","direction","in_final_dag"
"cmv","l3_klrf1_gzmb_cd27_memory_cd4_t_cell_alr",1,1,TRUE
"l2_progenitor_cell","l1_progenitor_cell_alr",1,0.51,TRUE
"l3_cd56bright_nk_cell","l2_cd56bright_nk_cell_alr",1,0.573,TRUE
"l3_cd8aa","l2_cd8aa_alr",1,0.506,TRUE
"l3_dn_t_cell","l2_dn_t_cell_alr",1,0.577,TRUE
"l3_proliferating_t_cell","l2_proliferating_t_cell_alr",1,0.535,TRUE
"l2_memory_b_cell_alr","l2_effector_b_cell_alr",1,0.528,TRUE
"l2_plasma_cell_alr","l3_plasma_cell",1,0.537,TRUE
"l2_transitional_b_cell_alr","l3_transitional_b_cell",1,0.79,TRUE
"l2_asdc_alr","l3_asdc",1,0.502,TRUE
"l2_cdc1_alr","l3_cdc1",1,0.537,TRUE
"l2_pdc_alr","l3_pdc",1,0.506,TRUE
"l2_intermediate_monocyte_alr","l3_intermediate_monocyte",1,0.502,TRUE
"l3_isg_cd14_monocyte_alr","l3_isg_cd16_monocyte_alr",1,0.5645,TRUE
"l3_naive_vd1_gdt_alr","l3_sox4_vd1_gdt_alr",1,0.5105,TRUE
"l1_b_cell_alr","l3_transitional_b_cell",1,0.695,TRUE
"l1_erythrocyte_alr","l2_erythrocyte",1,0.802,TRUE
"l1_erythrocyte_alr","l3_erythrocyte",1,0.509,TRUE
"l1_ilc_alr","l2_ilc",1,0.823,TRUE
"l1_ilc_alr","l3_ilc",1,0.501,TRUE
"l1_platelet_alr","l2_platelet",1,0.825,TRUE
"l1_platelet_alr","l3_platelet",1,0.512,TRUE
"l1_monocyte_alr","l1_dc_alr",0.999,0.50950950950951,TRUE
"l3_sox4_naive_cd4_t_cell_alr","l3_sox4_naive_cd8_t_cell_alr",0.996,0.92921686746988,TRUE
"l2_treg_alr","l2_memory_cd4_t_cell_alr",0.995,0.552763819095477,TRUE
"l3_isg_cd14_monocyte_alr","l3_isg_cdc2_alr",0.995,0.876884422110553,TRUE
