"from","to","strength","direction","in_final_dag"
"age_group","GDF15",1,1,TRUE
"sex","LEP",1,1,TRUE
"weight","hdl",1,0.99,TRUE
"weight","LEP",1,1,TRUE
"hematocrit","hemoglobin",1,1,TRUE
"hematocrit","rbc",1,1,TRUE
"mpv","platelets",1,0.98,TRUE
"rdw","rbc",1,1,TRUE
"albumin","calcium",1,1,TRUE
"albumin","protein",1,1,TRUE
"alt","ast",1,0.99,TRUE
"chloride","co2",1,0.535,TRUE
"globulin","protein",1,1,TRUE
"hdl","total_chol",1,1,TRUE
"hdl","triglycerides",1,0.98,TRUE
"ldl","total_chol",1,1,TRUE
"triglycerides","total_chol",1,1,TRUE
"CXCL9","CXCL10",1,0.985,TRUE
"CXCL9","IFNG",1,0.895,TRUE
"CXCL9","PDCD1",1,0.855,TRUE
"CXCL10","CXCL11",1,0.96,TRUE
"IL7","VEGFA",1,0.97,TRUE
"CCL11","CCL2",1,0.51,TRUE
"TNFRSF1A","HAVCR2",1,0.94,TRUE
"TNFRSF1B","HAVCR2",1,0.96,TRUE
"GZMA","CD8A",1,0.74,TRUE
"GZMA","LAG3",1,0.99,TRUE
"sex","crp",0.99,1,TRUE
"alt","weight",0.99,0.565656565656566,TRUE
"chloride","sodium",0.99,0.636363636363636,TRUE
"potassium","calcium",0.99,0.97979797979798,TRUE
"IFNG","TNF",0.99,0.797979797979798,TRUE
"GZMA","GZMB",0.99,0.565656565656566,TRUE
"MMP12","protein",0.99,0.868686868686869,TRUE
"bun","albumin",0.98,0.816326530612245,TRUE
"ldl","triglycerides",0.98,1,TRUE
"IL1RN","IL6",0.98,0.795918367346939,TRUE
"IL1RN","alk_phos",0.97,0.938144329896907,TRUE
"TNFRSF1A","TNFRSF1B",0.97,0.969072164948454,TRUE
"VEGFA","triglycerides",0.97,1,TRUE
"creatinine","bun",0.96,0.9375,TRUE
"IL10","protein",0.96,1,TRUE
"GDF15","TNFRSF1A",0.96,0.989583333333333,TRUE
"IL1RN","CCL4",0.95,0.71578947368421,TRUE
"age_group","total_chol",0.95,1,TRUE
"IL6","mpv",0.95,0.757894736842105,TRUE
"CCL11","CCL8",0.95,1,TRUE
"sex","creatinine",0.94,1,TRUE
"rdw","weight",0.94,0.553191489361702,TRUE
"bun","FGF21",0.93,0.838709677419355,TRUE
"hemoglobin","hematocrit",1,0,FALSE
"platelets","mpv",1,0.02,FALSE
"rbc","hematocrit",1,0,FALSE
"rbc","rdw",1,0,FALSE
"ast","alt",1,0.01,FALSE
"calcium","albumin",1,0,FALSE
"co2","chloride",1,0.465,FALSE
"protein","albumin",1,0,FALSE
"protein","globulin",1,0,FALSE
"hdl","weight",1,0.01,FALSE
"total_chol","hdl",1,0,FALSE
"total_chol","ldl",1,0,FALSE
"total_chol","triglycerides",1,0,FALSE
"triglycerides","hdl",1,0.02,FALSE
"CXCL10","CXCL9",1,0.015,FALSE
"CXCL11","CXCL10",1,0.04,FALSE
"IFNG","CXCL9",1,0.105,FALSE
"CCL2","CCL11",1,0.49,FALSE
"GDF15","age_group",1,0,FALSE
"CD8A","GZMA",1,0.26,FALSE
"VEGFA","IL7",1,0.03,FALSE
"PDCD1","CXCL9",1,0.145,FALSE
"LAG3","GZMA",1,0.01,FALSE
"HAVCR2","TNFRSF1A",1,0.06,FALSE
"HAVCR2","TNFRSF1B",1,0.04,FALSE
"LEP","sex",1,0,FALSE
"LEP","weight",1,0,FALSE
"weight","alt",0.99,0.434343434343434,FALSE
"calcium","potassium",0.99,0.0202020202020202,FALSE
"protein","MMP12",0.99,0.131313131313131,FALSE
"sodium","chloride",0.99,0.363636363636364,FALSE
"crp","sex",0.99,0,FALSE
"TNF","IFNG",0.99,0.202020202020202,FALSE
"GZMB","GZMA",0.99,0.434343434343434,FALSE
"albumin","bun",0.98,0.183673469387755,FALSE
"triglycerides","ldl",0.98,0,FALSE
"IL6","IL1RN",0.98,0.204081632653061,FALSE
"alk_phos","IL1RN",0.97,0.0618556701030928,FALSE
"triglycerides","VEGFA",0.97,0,FALSE
"TNFRSF1B","TNFRSF1A",0.97,0.0309278350515464,FALSE
"bun","creatinine",0.96,0.0625,FALSE
"protein","IL10",0.96,0,FALSE
"TNFRSF1A","GDF15",0.96,0.0104166666666667,FALSE
"CCL4","IL1RN",0.95,0.28421052631579,FALSE
"mpv","IL6",0.95,0.242105263157895,FALSE
"total_chol","age_group",0.95,0,FALSE
"CCL8","CCL11",0.95,0,FALSE
"weight","rdw",0.94,0.446808510638298,FALSE
"creatinine","sex",0.94,0,FALSE
"FGF21","bun",0.93,0.161290322580645,FALSE
"basophils","hemoglobin",0.92,0.0543478260869565,FALSE
"eosinophils","ast",0.92,1,FALSE
"hemoglobin","basophils",0.92,0.945652173913043,FALSE
"ast","eosinophils",0.92,0,FALSE
"CXCL8","CD8A",0.92,0.58695652173913,FALSE
"IL1RN","LEP",0.92,0,FALSE
"CD8A","CXCL8",0.92,0.41304347826087,FALSE
"LEP","IL1RN",0.92,1,FALSE
"FGF21","CHI3L1",0.92,0.554347826086957,FALSE
"CHI3L1","FGF21",0.92,0.445652173913043,FALSE
"CCL4","GZMB",0.9,1,FALSE
"GZMB","CCL4",0.9,0,FALSE
"creatinine","IL7",0.89,0.0112359550561798,FALSE
"IL7","creatinine",0.89,0.98876404494382,FALSE
"basophils","platelets",0.88,0.0795454545454545,FALSE
"platelets","basophils",0.88,0.920454545454545,FALSE
"lymphocytes","IL15",0.88,0.488636363636364,FALSE
"IL15","lymphocytes",0.88,0.511363636363636,FALSE
"IGFBP7","TNFRSF1A",0.88,0.147727272727273,FALSE
"TNFRSF1A","IGFBP7",0.88,0.852272727272727,FALSE
"IL18","IL1RN",0.87,0.931034482758621,FALSE
"IL1RN","IL18",0.87,0.0689655172413793,FALSE
"GDF15","FGF21",0.87,0.988505747126437,FALSE
"FGF21","GDF15",0.87,0.0114942528735632,FALSE
"sex","hematocrit",0.86,1,FALSE
"hematocrit","sex",0.86,0,FALSE
"platelets","esr",0.86,0.430232558139535,FALSE
"esr","platelets",0.86,0.569767441860465,FALSE
"CXCL10","IL1RN",0.86,0.13953488372093,FALSE
"IL1RN","CXCL10",0.86,0.86046511627907,FALSE
"globulin","esr",0.85,0.0470588235294118,FALSE
"esr","globulin",0.85,0.952941176470588,FALSE
"CXCL9","GZMA",0.85,0.941176470588235,FALSE
"GZMA","CXCL9",0.85,0.0588235294117647,FALSE
"age_group","IL10",0.85,1,FALSE
"IL10","age_group",0.85,0,FALSE
"glucose","IL10",0.84,0.547619047619048,FALSE
"IL10","glucose",0.84,0.452380952380952,FALSE
"eosinophils","IL18",0.83,0.204819277108434,FALSE
"hemoglobin","IL18",0.83,0.939759036144578,FALSE
"IL18","eosinophils",0.83,0.795180722891566,FALSE
"IL18","hemoglobin",0.83,0.0602409638554217,FALSE
"sex","esr",0.83,1,FALSE
"sex","HAVCR2",0.83,1,FALSE
"esr","sex",0.83,0,FALSE
"CXCL11","VEGFA",0.83,0.168674698795181,FALSE
"VEGFA","CXCL11",0.83,0.831325301204819,FALSE
"HAVCR2","sex",0.83,0,FALSE
"CXCL9","KLRD1",0.82,0.975609756097561,FALSE
"KLRD1","CXCL9",0.82,0.024390243902439,FALSE
"eosinophils","LEP",0.82,0,FALSE
"LEP","eosinophils",0.82,1,FALSE
"IL18","PDCD1",0.81,0.0740740740740741,FALSE
"PDCD1","IL18",0.81,0.925925925925926,FALSE
"lymphocytes","rbc",0.8,0.3125,FALSE
"neutrophils","CXCL8",0.8,0.7875,FALSE
"rbc","lymphocytes",0.8,0.6875,FALSE
"CXCL8","neutrophils",0.8,0.2125,FALSE
"IGFBP7","LAG3",0.8,0.1875,FALSE
"LAG3","IGFBP7",0.8,0.8125,FALSE
"age_group","glucose",0.78,1,FALSE
"glucose","age_group",0.78,0,FALSE
"TNFRSF1B","PDCD1",0.78,0.833333333333333,FALSE
"PDCD1","TNFRSF1B",0.78,0.166666666666667,FALSE
"CXCL8","MMP12",0.78,0.730769230769231,FALSE
"MMP12","CXCL8",0.78,0.269230769230769,FALSE
"neutrophils","crp",0.77,0.025974025974026,FALSE
"potassium","CD8A",0.77,0.0194805194805195,FALSE
"crp","neutrophils",0.77,0.974025974025974,FALSE
"CD8A","potassium",0.77,0.98051948051948,FALSE
"weight","CCL8",0.76,1,FALSE
"hematocrit","TNF",0.76,1,FALSE
"bun","protein",0.76,0.973684210526316,FALSE
"protein","bun",0.76,0.0263157894736842,FALSE
"TNF","hematocrit",0.76,0,FALSE
"CXCL9","TNFRSF1B",0.76,0.0263157894736842,FALSE
"IL1RN","CCL2",0.76,0.986842105263158,FALSE
"CCL2","IL1RN",0.76,0.0131578947368421,FALSE
"CCL3","TNFRSF1B",0.76,0.0526315789473684,FALSE
"CCL8","weight",0.76,0,FALSE
"TNFRSF1B","CXCL9",0.76,0.973684210526316,FALSE
"TNFRSF1B","CCL3",0.76,0.947368421052632,FALSE
"neutrophils","CCL2",0.75,0.733333333333333,FALSE
"calcium","esr",0.75,0,FALSE
"esr","calcium",0.75,1,FALSE
"CCL2","neutrophils",0.75,0.266666666666667,FALSE
"neutrophils","sodium",0.74,0.621621621621622,FALSE
"chloride","potassium",0.74,0.777027027027027,FALSE
"potassium","chloride",0.74,0.222972972972973,FALSE
"sodium","neutrophils",0.74,0.378378378378378,FALSE
"CXCL8","CCL4",0.74,0.364864864864865,FALSE
"CCL4","CXCL8",0.74,0.635135135135135,FALSE
"age_group","alk_phos",0.73,1,FALSE
"eosinophils","hemoglobin",0.73,0.0136986301369863,FALSE
"hemoglobin","eosinophils",0.73,0.986301369863014,FALSE
"hemoglobin","monocytes",0.73,1,FALSE
"monocytes","hemoglobin",0.73,0,FALSE
"alk_phos","age_group",0.73,0,FALSE
"CXCL8","CCL11",0.73,0.452054794520548,FALSE
"CXCL9","CCL3",0.73,0.73972602739726,FALSE
"CCL3","CXCL9",0.73,0.26027397260274,FALSE
"CCL11","CXCL8",0.73,0.547945205479452,FALSE
"age_group","hdl",0.72,1,FALSE
"rdw","LAG3",0.72,0.375,FALSE
"co2","KLRD1",0.72,0.972222222222222,FALSE
"crp","VEGFA",0.72,1,FALSE
"hdl","age_group",0.72,0,FALSE
"KLRD1","co2",0.72,0.0277777777777778,FALSE
"VEGFA","crp",0.72,0,FALSE
"LAG3","rdw",0.72,0.625,FALSE
"CXCL11","GZMB",0.71,0.225352112676056,FALSE
"GZMB","CXCL11",0.71,0.774647887323944,FALSE
"chloride","HAVCR2",0.71,1,FALSE
"CD8A","PDCD1",0.71,0.126760563380282,FALSE
"PDCD1","CD8A",0.71,0.873239436619718,FALSE
"HAVCR2","chloride",0.71,0,FALSE
"weight","IL6",0.69,0.971014492753623,FALSE
"alk_phos","ldl",0.69,0.956521739130435,FALSE
"ldl","alk_phos",0.69,0.0434782608695652,FALSE
"triglycerides","IGFBP7",0.69,0.971014492753623,FALSE
"IL6","weight",0.69,0.0289855072463768,FALSE
"IGFBP7","triglycerides",0.69,0.0289855072463768,FALSE
"rbc","creatinine",0.69,0,FALSE
"creatinine","rbc",0.69,1,FALSE
"globulin","KLRD1",0.69,0.463768115942029,FALSE
"KLRD1","globulin",0.69,0.536231884057971,FALSE
"t_bili","IL7",0.68,0.485294117647059,FALSE
"IL7","t_bili",0.68,0.514705882352941,FALSE
"platelets","IL10",0.67,0.0149253731343284,FALSE
"IL10","platelets",0.67,0.985074626865672,FALSE
"HAVCR2","CD274",0.67,1,FALSE
"CD274","HAVCR2",0.67,0,FALSE
"wbc","sodium",0.67,0.552238805970149,FALSE
"sodium","wbc",0.67,0.447761194029851,FALSE
"weight","CCL3",0.66,0.409090909090909,FALSE
"lymphocytes","KLRD1",0.66,0.939393939393939,FALSE
"platelets","VEGFA",0.66,0.0454545454545454,FALSE
"CXCL8","CCL2",0.66,0.75,FALSE
"CCL2","CXCL8",0.66,0.25,FALSE
"CCL3","weight",0.66,0.590909090909091,FALSE
"KLRD1","lymphocytes",0.66,0.0606060606060606,FALSE
"VEGFA","platelets",0.66,0.954545454545454,FALSE
"hematocrit","alt",0.65,0.784615384615385,FALSE
"alt","hematocrit",0.65,0.215384615384615,FALSE
"TNF","CXCL10",0.65,0.246153846153846,FALSE
