"from","to","strength","direction","in_final_dag"
"age_group","GDF15",1,1,TRUE
"sex","hemoglobin",1,1,TRUE
"sex","creatinine",1,1,TRUE
"sex","LEP",1,1,TRUE
"hemoglobin","hematocrit",1,1,TRUE
"hdl","triglycerides",1,0.91,TRUE
"alt","ast",1,1,TRUE
"albumin","calcium",1,1,TRUE
"CXCL9","CXCL10",1,1,TRUE
"CXCL9","PDCD1",1,0.72,TRUE
"IL1RN","LEP",1,0.81,TRUE
"IL7","VEGFA",1,0.97,TRUE
"CCL11","CCL2",1,0.66,TRUE
"TNFRSF1A","HAVCR2",1,0.95,TRUE
"TNFRSF1B","HAVCR2",1,0.98,TRUE
"CD8A","GZMA",1,0.56,TRUE
"GZMA","LAG3",1,0.96,TRUE
"esr","platelets",0.99,0.94949494949495,TRUE
"creatinine","bun",0.99,1,TRUE
"CXCL10","CXCL11",0.99,1,TRUE
"TNFRSF1A","TNFRSF1B",0.99,0.929292929292929,TRUE
"ldl","triglycerides",0.98,0.959183673469388,TRUE
"bun","albumin",0.98,0.775510204081633,TRUE
"IL6","IL1RN",0.98,0.744897959183674,TRUE
"IFNG","TNF",0.98,0.755102040816326,TRUE
"CHI3L1","FGF21",0.98,0.551020408163265,TRUE
"TNFRSF1A","IGFBP7",0.98,0.989795918367347,TRUE
"PDCD1","IL18",0.98,1,TRUE
"crp","VEGFA",0.97,0.938144329896907,TRUE
"CXCL9","IFNG",0.97,0.907216494845361,TRUE
"GZMA","GZMB",0.97,0.556701030927835,TRUE
"potassium","calcium",0.96,0.958333333333333,TRUE
"sex","IGFBP7",0.96,1,TRUE
"CXCL10","IL1RN",0.96,0.520833333333333,TRUE
"hemoglobin","monocytes",0.95,0.957894736842105,TRUE
"bun","FGF21",0.95,0.894736842105263,TRUE
"CCL4","GZMB",0.94,0.978723404255319,TRUE
"TNFRSF1A","IL6",0.94,0.98936170212766,TRUE
"hemoglobin","IL18",0.93,1,TRUE
"GDF15","TNFRSF1A",0.92,1,TRUE
"CXCL8","CCL11",0.92,0.684782608695652,TRUE
"CXCL8","CD8A",0.92,0.684782608695652,TRUE
"TNFRSF1B","PDCD1",0.92,0.896739130434783,TRUE
