"from","to","strength","direction","in_final_dag"
"cmv","l3_klrf1_gzmb_cd27_memory_cd4_t_cell_alr",1,1,TRUE
"l2_progenitor_cell","l3_clp_cell_alr",1,0.63,TRUE
"l2_progenitor_cell","l1_progenitor_cell_alr",1,1,TRUE
"l3_asdc","l2_asdc_alr",1,1,TRUE
"l3_cd56bright_nk_cell","l2_cd56bright_nk_cell_alr",1,1,TRUE
"l3_cd8aa","l2_cd8aa_alr",1,1,TRUE
"l3_cdc1","l2_cdc1_alr",1,1,TRUE
"l3_dn_t_cell","l2_dn_t_cell_alr",1,1,TRUE
"l3_erythrocyte","l1_erythrocyte_alr",1,1,TRUE
"l3_ilc","l1_ilc_alr",1,1,TRUE
"l3_intermediate_monocyte","l2_intermediate_monocyte_alr",1,1,TRUE
"l3_pdc","l2_pdc_alr",1,1,TRUE
"l3_pdc","l1_dc_alr",1,0.93,TRUE
"l3_plasma_cell","l2_plasma_cell_alr",1,1,TRUE
"l3_platelet","l1_platelet_alr",1,1,TRUE
"l3_proliferating_t_cell","l2_proliferating_t_cell_alr",1,1,TRUE
"l3_transitional_b_cell","l2_transitional_b_cell_alr",1,0.52,TRUE
"l3_transitional_b_cell","l1_b_cell_alr",1,0.52,TRUE
"l2_effector_b_cell_alr","l2_memory_b_cell_alr",1,0.91,TRUE
"l2_memory_b_cell_alr","l3_transitional_b_cell",1,0.98,TRUE
"l2_memory_b_cell_alr","l2_plasma_cell_alr",1,1,TRUE
"l2_asdc_alr","l2_cdc1_alr",1,0.65,TRUE
"l2_pdc_alr","l2_asdc_alr",1,1,TRUE
"l2_pdc_alr","l2_cdc1_alr",1,1,TRUE
"l2_cd16_monocyte_alr","l2_intermediate_monocyte_alr",1,1,TRUE
"l2_proliferating_nk_cell_alr","l3_proliferating_nk_cell",1,0.54,TRUE
"l2_mait_alr","l3_isg_mait_alr",1,0.97,TRUE
"l2_memory_cd4_t_cell_alr","l2_cd8aa_alr",1,1,TRUE
"l2_memory_cd4_t_cell_alr","l2_treg_alr",1,1,TRUE
"l2_memory_cd4_t_cell_alr","l3_isg_memory_cd8_t_cell_alr",1,1,TRUE
"l2_memory_cd8_t_cell_alr","l2_cd8aa_alr",1,1,TRUE
"l2_memory_cd8_t_cell_alr","l2_dn_t_cell_alr",1,1,TRUE
"l2_memory_cd8_t_cell_alr","l2_proliferating_t_cell_alr",1,1,TRUE
"l2_memory_cd8_t_cell_alr","l3_isg_memory_cd8_t_cell_alr",1,1,TRUE
"l2_naive_cd8_t_cell_alr","l3_isg_naive_cd8_t_cell_alr",1,1,TRUE
"l2_naive_cd8_t_cell_alr","l3_sox4_naive_cd8_t_cell_alr",1,0.83,TRUE
"l2_treg_alr","l2_memory_cd8_t_cell_alr",1,1,TRUE
"l3_isg_cd14_monocyte_alr","l3_isg_cd16_monocyte_alr",1,0.91,TRUE
"l3_isg_cd14_monocyte_alr","l3_isg_cdc2_alr",1,1,TRUE
"l3_isg_cd14_monocyte_alr","l3_isg_memory_cd4_t_cell_alr",1,0.995,TRUE
"l3_isg_cd14_monocyte_alr","l3_isg_naive_b_cell_alr",1,1,TRUE
"l3_isg_cd14_monocyte_alr","l3_isg_naive_cd4_t_cell_alr",1,0.995,TRUE
"l3_adaptive_nk_cell_alr","l3_gzmk_cd56dim_nk_cell_alr",1,0.54,TRUE
"l3_cd14_cdc2_alr","l3_isg_cdc2_alr",1,1,TRUE
"l3_klrf1_effector_vd1_gdt_alr","l3_sox4_vd1_gdt_alr",1,0.97,TRUE
"l3_naive_vd1_gdt_alr","l3_sox4_vd1_gdt_alr",1,1,TRUE
"l3_cd4_mait_alr","l2_mait_alr",1,0.85,TRUE
"l3_cd95_memory_b_cell_alr","l3_activated_memory_b_cell_alr",1,0.775,TRUE
"l3_cd95_memory_b_cell_alr","l3_type_2_polarized_memory_b_cell_alr",1,0.53,TRUE
"l3_isg_memory_cd4_t_cell_alr","l3_isg_memory_cd8_t_cell_alr",1,1,TRUE
"l3_klrf1_gzmb_cd27_memory_cd4_t_cell_alr","l3_cd56bright_nk_cell",1,1,TRUE
"l3_cm_cd8_t_cell_alr","l3_gzmk_cd27_em_cd8_t_cell_alt_alr",1,0.96,TRUE
"l3_isg_naive_cd4_t_cell_alr","l3_isg_naive_cd8_t_cell_alr",1,1,TRUE
"l3_sox4_naive_cd4_t_cell_alr","l2_naive_cd8_t_cell_alr",1,1,TRUE
"l3_sox4_naive_cd4_t_cell_alr","l3_sox4_naive_cd8_t_cell_alr",1,1,TRUE
"l3_sox4_naive_cd8_t_cell_alr","l3_sox4_vd1_gdt_alr",1,1,TRUE
"l3_naive_cd4_treg_alr","l3_gzmb_cd27_em_cd4_t_cell_alt_alr",1,0.93,TRUE
"l1_dc_alr","l2_erythrocyte",1,1,TRUE
"l1_dc_alr","l2_asdc_alr",1,1,TRUE
"l1_dc_alr","l2_cdc1_alr",1,1,TRUE
"l1_dc_alr","l2_pdc_alr",1,1,TRUE
"l1_dc_alr","l1_monocyte_alr",1,1,TRUE
"l1_monocyte_alr","l3_intermediate_monocyte",1,1,TRUE
"l1_monocyte_alr","l2_intermediate_monocyte_alr",1,1,TRUE
"l1_nk_cell_alr","l3_proliferating_nk_cell",1,0.95,TRUE
"l1_nk_cell_alr","l2_cd56bright_nk_cell_alr",1,0.65,TRUE
"l1_b_cell_alr","l2_erythrocyte",1,1,TRUE
"l1_b_cell_alr","l2_plasma_cell_alr",1,0.99,TRUE
"l1_erythrocyte_alr","l2_erythrocyte",1,1,TRUE
"l1_ilc_alr","l2_ilc",1,1,TRUE
"l1_platelet_alr","l2_platelet",1,1,TRUE
"l2_effector_b_cell_alr","l3_isg_naive_b_cell_alr",0.99,1,TRUE
"l2_memory_cd4_t_cell_alr","l2_dn_t_cell_alr",0.99,1,TRUE
"l3_cd27_effector_b_cell_alt_alr","l3_klrf1_effector_vd1_gdt_alr",0.99,0.545454545454546,TRUE
"l1_dc_alr","l3_cdc1",0.99,0.616161616161616,TRUE
"l1_dc_alr","l1_erythrocyte_alr",0.99,1,TRUE
"l2_mait_alr","l3_gzmk_cd27_em_cd8_t_cell_alt_alr",0.98,0.948979591836735,TRUE
"age_group","l3_sox4_naive_cd4_t_cell_alr",0.98,1,TRUE
