network,edges,edges_with_search_results,support_dir_indra_only,support_dir_pm_only,support_dir_both,support_dir_neither,reverse_indra_only,reverse_pm_only,reverse_both,reverse_neither,no_dir_indra_only,no_dir_pm_only,no_dir_both,no_dir_neither,conflicting_indra_only,conflicting_pm_only,conflicting_both,conflicting_neither
l1a_cv,55,21,0,6,0,0,1,3,0,0,0,9,1,0,0,1,0,0
l1b_cv,29,7,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0
l2_cv,61,48,6,0,0,0,8,0,1,0,5,0,0,1,21,0,6,0
l3a_cv,50,34,2,4,0,0,4,2,0,0,4,6,1,1,6,0,3,0
l3b_cv,117,59,5,2,1,0,10,0,1,0,6,3,1,1,23,0,6,0
l4_cv,89,6,1,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0
l5_cv,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l6_cv,146,4,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0
l_all_cv,270,23,2,4,0,0,0,0,0,0,1,9,0,0,4,0,3,0
l1a_boot,21,14,0,5,0,0,1,1,0,0,0,6,1,0,0,0,0,0
l1b_boot,15,5,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0
l2_boot,31,21,2,0,0,0,3,0,1,0,4,1,0,0,7,0,3,0
l3a_boot,21,5,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0
l3b_boot,15,10,2,1,0,0,0,0,0,0,1,1,0,0,4,0,1,0
l4_boot,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l5_boot,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l6_boot,57,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
l_all_boot,126,10,0,3,0,0,0,0,0,0,1,6,0,0,0,0,0,0
